__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 24, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-5/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 2, "progress_text": "[------------------] 24/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 25, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-5/200", "status": "running", "detail": "mse=229.7444", "event": "fold-done", "progress_pct": 2, "progress_text": "[------------------] 25/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 25, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-6/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 2, "progress_text": "[------------------] 25/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 26, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-6/200", "status": "running", "detail": "mse=27.3559", "event": "fold-done", "progress_pct": 3, "progress_text": "[------------------] 26/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 26, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-6/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 3, "progress_text": "[------------------] 26/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 27, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-6/200", "status": "running", "detail": "mse=11.5733", "event": "fold-done", "progress_pct": 3, "progress_text": "[------------------] 27/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 27, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-6/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 3, "progress_text": "[------------------] 27/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 28, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-6/200", "status": "running", "detail": "mse=23.2510", "event": "fold-done", "progress_pct": 3, "progress_text": "[#-----------------] 28/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 28, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-6/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 3, "progress_text": "[#-----------------] 28/1005   3%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 29, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-6/200", "status": "running", "detail": "mse=2.8106", "event": "fold-done", "progress_pct": 3, "progress_text": "[#-----------------] 29/1005   3%"}
